date,AQI,PM10,PM2.5,CO,NO2,O3,SO2,prec,lrad,shum,pres,temp,wind,srad
2018-01-04 03:00:00,58.0,,41.0,0.8,48.0,2.0,5.0,50.00008749961853,752.75,0.02500000071700104,269752.0,275.84619995117185,60.0070359954834,711.375
2018-01-04 04:00:00,22.0,,15.0,0.6,43.0,16.0,3.0,,,,,,,
2018-01-04 05:00:00,14.0,,10.0,0.5,21.0,35.0,3.0,,,,,,,
2018-01-04 06:00:00,19.0,,13.0,0.5,23.0,33.0,3.0,50.0,754.1875,0.025000000703999773,269236.0,275.8577999877929,60.0042799911499,708.75
2018-01-04 07:00:00,14.0,12.0,10.0,0.3,23.0,32.0,2.0,,,,,,,
2018-01-04 08:00:00,13.0,11.0,3.0,0.3,25.0,29.0,2.0,,,,,,,
2018-01-04 09:00:00,21.0,21.0,6.0,0.5,30.0,27.0,2.0,50.0,754.3125,0.02500000073100068,269020.0,275.85579986572264,60.00189199066162,685.5625
2018-01-04 10:00:00,24.0,24.0,10.0,0.6,31.0,29.0,3.0,,,,,,,
2018-01-04 11:00:00,24.0,20.0,17.0,0.5,28.0,35.0,3.0,,,,,,,
2018-01-04 12:00:00,18.0,18.0,3.0,0.5,23.0,41.0,3.0,50.0,753.5625,0.02500000084700063,268884.0,275.84739990234374,60.003195991516115,685.0
2018-01-04 13:00:00,19.0,14.0,13.0,0.4,21.0,45.0,3.0,,,,,,,
2018-01-04 14:00:00,,,,,,,,,,,,,,
2018-01-04 15:00:00,,,,,,,,50.0,752.875,0.02500000090700016,268864.0,275.8402999877929,60.003203994750976,685.0
2018-01-04 16:00:00,16.0,12.0,9.0,0.3,19.0,50.0,2.0,,,,,,,
2018-01-04 17:00:00,21.0,17.0,15.0,0.3,23.0,45.0,2.0,,,,,,,
2018-01-04 18:00:00,40.0,40.0,17.0,0.4,26.0,37.0,2.0,50.0,751.625,0.02500000094900094,268464.0,275.8273999023437,60.0017319946289,685.0
2018-01-04 19:00:00,21.0,21.0,6.0,0.3,30.0,29.0,2.0,,,,,,,
2018-01-04 20:00:00,39.0,39.0,11.0,0.5,54.0,4.0,3.0,,,,,,,
2018-01-04 21:00:00,46.0,46.0,29.0,0.8,54.0,3.0,5.0,50.0,748.875,0.025000000987000764,268264.0,275.79959991455075,60.00151999664307,685.0
2018-01-04 22:00:00,53.0,54.0,37.0,1.0,55.0,4.0,5.0,,,,,,,
2018-01-04 23:00:00,51.0,51.0,33.0,1.1,52.0,3.0,5.0,,,,,,,
2018-01-05 00:00:00,50.0,48.0,35.0,1.1,51.0,3.0,7.0,50.0,734.0,0.025000000409999862,268244.0,275.8047998046875,60.001259994506846,694.5625
2018-01-05 01:00:00,51.0,52.0,32.0,1.1,48.0,3.0,5.0,,,,,,,
2018-01-05 02:00:00,81.0,,60.0,1.1,48.0,3.0,5.0,,,,,,,
2018-01-05 03:00:00,66.0,61.0,48.0,1.2,52.0,4.0,6.0,50.0,738.8125,0.02500000090100057,268348.0,275.87829986572257,60.00367599487305,773.0625
2018-01-05 04:00:00,71.0,86.0,52.0,1.3,50.0,3.0,6.0,,,,,,,
2018-01-05 05:00:00,75.0,96.0,55.0,1.5,51.0,3.0,5.0,,,,,,,
2018-01-05 06:00:00,93.0,76.0,69.0,1.7,50.0,3.0,5.0,50.0,742.0,0.02500000121100061,267808.0,275.9023999023437,60.00558799743652,764.25
2018-01-05 07:00:00,95.0,89.0,71.0,1.8,51.0,4.0,5.0,,,,,,,
2018-01-05 08:00:00,103.0,95.0,77.0,1.8,48.0,3.0,4.0,,,,,,,
2018-01-05 09:00:00,103.0,112.0,77.0,1.8,42.0,3.0,4.0,50.0,742.75,0.02500000130899996,267868.0,275.8888000488281,60.0028639907837,685.5625
2018-01-05 10:00:00,115.0,,87.0,2.0,49.0,4.0,11.0,,,,,,,
2018-01-05 11:00:00,124.0,117.0,94.0,1.8,53.0,12.0,27.0,,,,,,,
2018-01-05 12:00:00,96.0,,72.0,1.2,41.0,26.0,21.0,50.0,738.75,0.025000001120001083,268280.0,275.8442999267578,60.00010799407959,685.0
2018-01-05 13:00:00,89.0,,66.0,1.1,42.0,30.0,19.0,,,,,,,
2018-01-05 14:00:00,103.0,,77.0,1.1,47.0,32.0,18.0,,,,,,,
2018-01-05 15:00:00,94.0,,70.0,0.9,46.0,34.0,17.0,50.0,737.8125,0.025000001263000074,268388.0,275.8294998168945,60.00327199554443,685.0
2018-01-05 16:00:00,110.0,92.0,83.0,1.1,52.0,30.0,22.0,,,,,,,
2018-01-05 17:00:00,121.0,,92.0,1.0,57.0,22.0,19.0,,,,,,,
2018-01-05 18:00:00,170.0,141.0,129.0,1.4,68.0,7.0,17.0,50.0,738.4375,0.025000000967999918,268496.0,275.844100036621,60.00545199584961,685.0
2018-01-05 19:00:00,219.0,194.0,169.0,1.9,79.0,4.0,21.0,,,,,,,
2018-01-05 20:00:00,239.0,205.0,189.0,2.2,81.0,4.0,17.0,,,,,,,
2018-01-05 21:00:00,244.0,200.0,194.0,2.4,81.0,4.0,14.0,50.0,737.8125,0.02500000129500032,268380.0,275.82809997558587,60.00292399597168,685.0
2018-01-05 22:00:00,256.0,206.0,206.0,2.6,74.0,4.0,10.0,,,,,,,
2018-01-05 23:00:00,252.0,204.0,202.0,2.7,76.0,4.0,9.0,,,,,,,
2018-01-06 00:00:00,246.0,203.0,196.0,2.7,81.0,5.0,13.0,50.0,733.875,0.025000000626999887,268588.0,275.8176998901367,60.00367199707031,697.3125
2018-01-06 01:00:00,236.0,194.0,186.0,2.6,77.0,4.0,13.0,,,,,,,
2018-01-06 02:00:00,239.0,,189.0,2.5,76.0,4.0,8.0,,,,,,,
2018-01-06 03:00:00,242.0,,192.0,2.2,78.0,4.0,8.0,50.0,735.3125,0.025000000502999872,268592.0,275.8804998779296,60.00600799560547,785.0
2018-01-06 04:00:00,223.0,,173.0,2.3,68.0,5.0,4.0,,,,,,,
2018-01-06 05:00:00,224.0,,174.0,2.4,69.0,5.0,3.0,,,,,,,
2018-01-06 06:00:00,241.0,,191.0,3.0,80.0,6.0,5.0,50.0,740.875,0.025000000974999742,267980.0,275.90369995117186,60.0040839920044,768.125
2018-01-06 07:00:00,229.0,,179.0,3.2,70.0,5.0,3.0,,,,,,,
2018-01-06 08:00:00,34.0,,,2.5,68.0,4.0,3.0,,,,,,,
2018-01-06 09:00:00,113.0,,85.0,1.5,65.0,4.0,4.0,50.0,740.6875,0.0250000011050012,267964.0,275.89,60.00191999816894,685.5625
2018-01-06 10:00:00,36.0,,25.0,0.6,45.0,23.0,3.0,,,,,,,
2018-01-06 11:00:00,21.0,17.0,15.0,0.6,40.0,32.0,2.0,,,,,,,
2018-01-06 12:00:00,21.0,,15.0,0.5,29.0,45.0,2.0,50.0,739.625,0.02500000118000061,267940.0,275.8751998901367,60.00207599639893,685.0
2018-01-06 13:00:00,19.0,,13.0,0.4,23.0,55.0,2.0,,,,,,,
2018-01-06 14:00:00,19.0,,5.0,0.3,20.0,61.0,2.0,,,,,,,
2018-01-06 15:00:00,19.0,,7.0,0.3,21.0,61.0,2.0,50.0,736.5625,0.025000000415001063,267848.0,275.8626998901367,60.00235599517822,685.0
2018-01-06 16:00:00,18.0,,12.0,0.3,24.0,58.0,2.0,,,,,,,
2018-01-06 17:00:00,16.0,10.0,5.0,0.3,28.0,51.0,2.0,,,,,,,
2018-01-06 18:00:00,15.0,12.0,7.0,0.3,27.0,49.0,2.0,50.0,739.8125,0.025000001542000102,267596.0,275.8679000854492,60.002215995788575,685.0
2018-01-06 19:00:00,15.0,15.0,7.0,0.3,26.0,41.0,2.0,,,,,,,
2018-01-06 20:00:00,30.0,30.0,11.0,0.4,30.0,32.0,2.0,,,,,,,
2018-01-06 21:00:00,37.0,37.0,8.0,0.8,61.0,8.0,5.0,50.0,738.875,0.025000001379000027,267324.0,275.86040008544916,60.00031999206543,685.0
2018-01-06 22:00:00,61.0,53.0,44.0,0.8,65.0,5.0,4.0,,,,,,,
2018-01-06 23:00:00,59.0,67.0,42.0,1.0,69.0,5.0,6.0,,,,,,,
2018-01-07 00:00:00,63.0,70.0,45.0,1.1,68.0,5.0,6.0,50.0,755.1875,0.02500000068600104,267272.0,275.85989990234367,60.00013599395752,687.625
2018-01-07 01:00:00,64.0,71.0,46.0,1.0,56.0,4.0,4.0,,,,,,,
2018-01-07 02:00:00,60.0,69.0,37.0,1.1,56.0,4.0,5.0,,,,,,,
2018-01-07 03:00:00,88.0,77.0,65.0,1.6,55.0,6.0,6.0,50.0,759.125,0.025000001607000832,267244.0,275.89649993896484,60.00265199279785,708.6875
2018-01-07 04:00:00,96.0,95.0,72.0,1.9,56.0,6.0,9.0,,,,,,,
2018-01-07 05:00:00,114.0,99.0,86.0,1.9,56.0,6.0,9.0,,,,,,,
2018-01-07 06:00:00,130.0,104.0,99.0,1.8,57.0,5.0,9.0,50.0,760.9375,0.025000001813000067,266748.0,275.9117999267578,60.00389599609375,707.0625
2018-01-07 07:00:00,120.0,104.0,91.0,1.8,55.0,5.0,7.0,,,,,,,
2018-01-07 08:00:00,135.0,111.0,103.0,1.9,52.0,5.0,6.0,,,,,,,
2018-01-07 09:00:00,126.0,153.0,96.0,1.8,50.0,5.0,6.0,50.0,760.4375,0.025000001606000587,266804.0,275.90399993896483,60.0027919921875,685.5625
2018-01-07 10:00:00,141.0,124.0,108.0,1.9,64.0,6.0,14.0,,,,,,,
2018-01-07 11:00:00,205.0,168.0,155.0,2.3,74.0,8.0,46.0,,,,,,,
2018-01-07 12:00:00,237.0,194.0,187.0,2.3,70.0,14.0,63.0,50.0,758.75,0.025000001608001067,266936.0,275.88829986572256,60.00611999511719,685.0
2018-01-07 13:00:00,258.0,,208.0,2.2,65.0,25.0,63.0,,,,,,,
2018-01-07 14:00:00,237.0,,187.0,1.8,59.0,31.0,52.0,,,,,,,
2018-01-07 15:00:00,211.0,,161.0,1.5,52.0,38.0,40.0,50.0,756.75,0.02500000108800084,267016.0,275.8726998901367,60.006203994750976,685.0
2018-01-07 16:00:00,211.0,,161.0,1.5,57.0,34.0,33.0,,,,,,,
2018-01-07 17:00:00,203.0,,153.0,1.4,60.0,29.0,27.0,,,,,,,
2018-01-07 18:00:00,204.0,154.0,154.0,1.4,60.0,22.0,20.0,50.0,755.4375,0.02500000112999976,266864.0,275.8597998046875,60.006223991394045,685.0
