,ground_truth,prediction
909,109.00000040233135,127.51549562811852
910,109.00000040233135,121.5160203576088
911,112.00000022351742,118.53704100847244
912,108.000000461936,111.61033037304878
913,106.00000058114529,110.83326599001884
914,100.00000093877316,86.17648425325751
915,83.00000024214387,58.160718858242035
916,56.999998942017555,39.241892755031586
917,32.99999809265137,27.13443371653557
918,19.99999886751175,19.092903941869736
919,58.9999999627471,26.80158069729805
920,100.00000093877316,45.08935262262821
921,138.00000095367432,54.298617497086525
922,89.00000045448542,43.24459417164326
923,13.999999225139618,13.744187831878662
924,10.999999403953552,8.022337824106216
925,5.999999701976776,6.675641447305679
926,4.999999761581421,6.152117699384689
927,3.9999998211860657,6.0935613214969635
928,3.9999998211860657,12.706761419773102
929,4.999999761581421,11.753471612930298
930,2.9999998807907104,12.669813722372055
931,1.0,15.43792262673378
932,2.9999998807907104,14.751738727092743
933,7.999999582767487,16.77208423614502
934,7.999999582767487,19.70002168416977
935,21.99999874830246,19.843380391597748
936,34.99999797344208,23.4117673933506
937,26.999998450279236,22.31750363111496
938,27.99999839067459,22.360292375087738
939,32.99999809265137,22.355750858783722
940,41.99999983608723,24.16235327720642
941,29.9999982714653,27.77916944026947
942,38.9999977350235,33.335199385881424
943,37.99999779462814,35.318323612213135
944,37.99999779462814,44.74874345958233
945,41.99999983608723,47.92255203425884
946,44.99999965727329,49.42419117689133
947,48.99999941885471,52.15680466592312
948,57.99999888241291,57.53898938000202
949,58.9999999627471,65.4234583824873
950,67.99999999627471,64.88341236114502
951,59.99999990314245,66.66373462975025
952,56.999998942017555,67.02452754974365
953,56.999998942017555,70.94243404641747
954,47.99999947845936,65.10614500939846
955,45.99999959766865,64.32600051164627
956,20.999998807907104,54.59431990981102
957,27.99999839067459,47.05211754143238
958,28.999998331069946,44.08548600971699
959,22.999998688697815,38.81507229804993
960,22.999998688697815,25.41499102115631
961,23.99999862909317,16.49711275100708
962,18.999998927116394,16.175239622592926
963,14.999999165534973,16.21135288476944
964,15.999999105930328,14.9199298620224
965,13.999999225139618,14.458286553621292
966,14.999999165534973,15.41371488571167
967,14.999999165534973,19.108507424592972
968,11.999999344348907,19.731743901968002
969,14.999999165534973,23.161017328500748
970,16.999999046325684,23.817353069782257
971,18.999998927116394,25.882297545671463
972,19.99999886751175,29.542121320962906
973,25.99999850988388,29.700125962495804
974,30.999998211860657,30.439394533634186
975,26.999998450279236,33.29479995369911
976,20.999998807907104,45.04029877483845
977,26.999998450279236,45.07995952665806
978,38.9999977350235,40.63575752079487
979,26.999998450279236,38.322340577840805
980,20.999998807907104,32.715309768915176
981,25.99999850988388,29.056767284870148
982,24.999998569488525,31.92527288198471
983,31.999998152256012,35.921237260103226
984,43.99999971687794,33.49554318189621
985,36.99999785423279,34.502601623535156
986,41.99999983608723,34.261851102113724
987,49.99999935925007,38.31274229288101
988,39.999999955296516,37.1793831884861
989,42.99999977648258,38.024515599012375
990,52.999999180436134,42.878783240914345
991,48.99999941885471,44.766225561499596
992,49.99999935925007,40.52980248630047
993,48.99999941885471,38.296769469976425
994,48.99999941885471,39.07666090130806
